Location,응답자 아이디,컨셉 타입,조사 실행 날짜,서비스 일자,방문 시간,등록 번호,구매 금액,거래 번호,나이키 충성도 회원,서비스 점수,경험 코멘트,경험 관련 의견 번역,반갑게 맞이함,친근함,도움이 됨,전문 지식 제공,제품 재고,간편한 주문결제,OSAT
,
NIKE-MYEONGDONG - 2106,
NIKE-MYEONGDONG - 2106,2812647911,Partner,11/14/24,11/14/24,11:46 오전,03,,000005,,100.00,경민,경민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812649378,Partner,11/14/24,11/14/24,12:00 오후,03,,000008,,100.00,hyunhee,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812649959,Partner,11/14/24,11/14/24,12:07 오후,03,,000009,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812654453,Partner,11/14/24,11/14/24,12:31 오후,03,,000014,,100.00,Yehyeong,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812655565,Partner,11/14/24,11/14/24,12:43 오후,03,,000016,,100.00,Hyunhee,null,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812655725,Partner,11/14/24,11/14/24,12:45 오후,03,,000017,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812656219,Partner,11/14/24,11/14/24,12:51 오후,03,,000018,,100.00,은서,은서,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812657725,Partner,11/14/24,11/14/24,1:11 오후,03,,000020,,100.00,광민,광민,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812658309,Partner,11/14/24,11/14/24,1:18 오후,03,,000021,,100.00,우빈,우빈,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812658467,Partner,11/14/24,11/14/24,1:21 오후,03,,000022,,100.00,희영,희영,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812661178,Partner,11/14/24,11/14/24,1:18 오후,03,,000021,,100.00,희영,희영,7,7,7,7,7,7,7
NIKE-MYEONGDONG - 2106,2812661900,Partner,11/14/24,11/14/24,2:10 오후,03,,000025,,100.00,고은,고은,7,7,7,7,7,7,7
